string,string
field1,field2
SPACE,*
TITLE,Citadelum Core Team
Eva Gaspar,CEO & Executive Director
Miguel García,Creative Director & Programmer Lead
Víctor Ávila,Associate Producer
Alberto J. González,Music Producer/SFX
David Corominas,Programmer
Jorge Torrent,Programmer
Sergio Escuder,Game Designer & QA Lead
José de Miguel,Animator & Rigger
Oriol Prats,"""3D Artist"""
Filipp Mian,"""3D Artist"""
Ángel Vázquez,Technical Artist
María Ayuso,Character Concept Artist & UI/UX
Eric Gual,Buildings Concept Artist
Jorge Peral,Concept Artist
David Martinez,Marketing Lead & Script Writer
Alex Salueña,Marketing & Design support
Félix Fernández-Palacios,QA - Community Mgr.
Virginia Montes,Social Media Manager
SPACE,*
TITLE,Intern Program
Pol Segú,"""Jr. QA"""
Olga Botyanosvskaya,"""Jr. 3D Artist"""
Pol Garin,"""Jr. 3D Artist"""
SPACE,*
TITLE,External Professionals
"José Ramón ""Bibiki"" García",Music
Mirella Díez,Singer
Carlos Tellez,"""3D Outsourcing"""
Axel Garcia,"""3D Outsourcing (Brave Zebra)"""
Manel Barahona,"""3D Outsourcing - Production (Brave Zebra)"""
Ivan Cid Rey,"""3D Outsourcing - Production (Brave Zebra)"""
Randy Terrapon Avellaneda,"""3D Outsourcing - 3D Artist (Brave Zebra)"""
Toni Cid Garcia,"""3D Outsourcing - 3D Artist (Brave Zebra)"""
Hermes Escrivá Serra,"""3D Outsourcing - 3D Artist (Brave Zebra)"""
Pablo Rodriguez Medina,"""3D Outsourcing - 3D Artist (Brave Zebra)"""
LCP Localizations,"Translation (English, german, french & japanese)"
Xavier Montemurro,LCP Localizations - Manager
Serena Senia,Translation (German)
Marianne Germain,Translation (French)
Mizue Kawai,Translation (Japanese)
Alexander Mellon,Translation (English)
Roman Matsuk,Translation (Russian)
Barry Wan,Translation (Chinese)
MaduJoga,Translation (BR Portuguese)
Cezar Pezzotti,Translation (BR Portuguese)
Arthur Cambler,Translation (BR Portuguese)
Laura Novelli,Translation (BR Portuguese)
GeneralSte,History/Latin advisor
SPACE,*
TITLE,Citadelum Community Testers
Astro,Discord community
Caprea,Discord community
Ertt,Discord community
GoddGaming,Discord community
HyperDeluxe,Discord community
Scarab-Phoenix,Discord community
Thyrosis,Discord community
Twildion,Discord community
Viriathus,Discord community
Amoreena,Discord community
flowin,Discord community
7Soul,Steam community
PewPew!,Steam community
Rad Carrot,Steam community
ReoHays,Steam community
PHOBIE,Steam community
Yuusou Amazing,Steam community
Mikado,Steam community
Go.Dude,Steam community
Лёв,Steam community
dasix.merinova,Steam community
Baylesian,Steam community
[Tec]Admiral Magiehammer,Steam community
Automaticguns,Steam community
KyoZ,Steam community
a_guy_hee,Steam community
